Abbreviation,Location
"Cuba", "Cuba"
"Anguilla", "Anguilla"
"Dominican Republic", "Dominican Republic"
"Philippines", "Philippines"
"Bahrain", "Bahrain"
"Costa Rica", "Costa Rica"
"Azerbaijan", "Azerbaijan"
"Thailand", "Thailand"
"East Germany", "East Germany"
"China", "China"
"Guadeloupe", "Guadeloupe"
"Central African Republic", "Central African Republic"
"Zambia", "Zambia"
"Timor-Leste", "Timor-Leste"
"Bermuda", "Bermuda"
"Seychelles", "Seychelles"
"Pakistan", "Pakistan"
"Nepal", "Nepal"
"Nicaragua", "Nicaragua"
"Serbia", "Serbia"
"Israel", "Israel"
"Lebanon", "Lebanon"
"Zimbabwe", "Zimbabwe"
"Gabon", "Gabon"
"Barbados", "Barbados"
"Iraq", "Iraq"
"Uzbekistan", "Uzbekistan"
"Marshall Islands", "Marshall Islands"
"Afghanistan", "Afghanistan"
"The Gambia", "The Gambia"
"Burundi", "Burundi"
"Mali", "Mali"
"Congo (Kinshasa)", "Congo (Kinshasa)"
"Cameroon", "Cameroon"
"Malawi", "Malawi"
"Guyana", "Guyana"
"Bosnia and Herzegovina", "Bosnia and Herzegovina"
"Bulgaria", "Bulgaria"
"and Saba", "and Saba"
"Burkina Faso", "Burkina Faso"
"Saint Vincent and the Grenadines", "Saint Vincent and the Grenadines"
"Czech Republic", "Czech Republic"
"Equatorial Guinea", "Equatorial Guinea"
"Sri Lanka", "Sri Lanka"
"Sierra Leone", "Sierra Leone"
"Slovakia", "Slovakia"
"Hungary", "Hungary"
"Georgia", "Georgia"
"Brunei", "Brunei"
"Senegal", "Senegal"
"Ireland", "Ireland"
"Belize", "Belize"
"Poland", "Poland"
"Congo (Brazaville)", "Congo (Brazaville)"
"Canada", "Canada"
"Vietnam", "Vietnam"
"Haiti", "Haiti"
"French Guiana", "French Guiana"
"Guatemala", "Guatemala"
"Cocos (Keeling) Islands", "Cocos (Keeling) Islands"
"Bangladesh", "Bangladesh"
"South Korea", "South Korea"
"Guinea", "Guinea"
"Taiwan", "Taiwan"
"Benin", "Benin"
"Liberia", "Liberia"
"Grenada", "Grenada"
"Ecuador", "Ecuador"
"Curacao", "Curacao"
"Kiribati", "Kiribati"
"Cayman Islands", "Cayman Islands"
"Croatia", "Croatia"
"Dominica", "Dominica"
"Tunisia", "Tunisia"
"Ukraine", "Ukraine"
"Qatar", "Qatar"
"Portugal", "Portugal"
"Tajikistan", "Tajikistan"
"Mayotte", "Mayotte"
"Uganda", "Uganda"
"Kenya", "Kenya"
"British Virgin Islands", "British Virgin Islands"
"Namibia", "Namibia"
"Mongolia", "Mongolia"
"Tonga", "Tonga"
"Armenia", "Armenia"
"Martinique", "Martinique"
"North Korea", "North Korea"
"Kyrgyzstan", "Kyrgyzstan"
"Botswana", "Botswana"
"Saint Pierre and Miquelon", "Saint Pierre and Miquelon"
"Tuvalu", "Tuvalu"
"Wallis and Futuna", "Wallis and Futuna"
"Maldives", "Maldives"
"Turks and Caicos Islands", "Turks and Caicos Islands"
"New Caledonia", "New Caledonia"
"Gibraltar", "Gibraltar"
"Greenland", "Greenland"
"Belarus", "Belarus"
"Austria", "Austria"
"Finland", "Finland"
"Hong Kong", "Hong Kong"
"Suriname", "Suriname"
"Nauru", "Nauru"
"Niue", "Niue"
"Montenegro", "Montenegro"
"Djibouti", "Djibouti"
"South Sudan", "South Sudan"
"Rwanda", "Rwanda"
"Jamaica", "Jamaica"
"Moldova", "Moldova"
"Cambodia", "Cambodia"
"Federated States of Micronesia", "Federated States of Micronesia"
"Lithuania", "Lithuania"
"Kuwait", "Kuwait"
"Togo", "Togo"
"Slovenia", "Slovenia"
"Laos", "Laos"
"Luxembourg", "Luxembourg"
"Monaco", "Monaco"
"Oman", "Oman"
"Macau", "Macau"
"Malta", "Malta"
"Montserrat", "Montserrat"
"Falkland Islands (Islas Malvinas)", "Falkland Islands (Islas Malvinas)"
"Saint Martin", "Saint Martin"
"Mauritius", "Mauritius"
"Lesotho", "Lesotho"
"Swaziland", "Swaziland"
"Saint Kitts and Nevis", "Saint Kitts and Nevis"
"British Indian Ocean Territory", "British Indian Ocean Territory"
"Cape Verde", "Cape Verde"
"Macedonia", "Macedonia"
"Guinea-Bissau", "Guinea-Bissau"
"Bhutan", "Bhutan"
"Trinidad and Tobago", "Trinidad and Tobago"
"Kosovo", "Kosovo"
"Singapore", "Singapore"
"Latvia", "Latvia"
"Palau", "Palau"
"U.S.S.R.", "U.S.S.R."
"Reunion", "Reunion"
"El Salvador", "El Salvador"
"Saint Barthelemy", "Saint Barthelemy"
"Saint Lucia", "Saint Lucia"
"Sint Maarten", "Sint Maarten"
"Albania", "Albania"
"Estonia", "Estonia"
"Sao Tome and Principe", "Sao Tome and Principe"
"Christmas Island", "Christmas Island"
